isRegion, Area ,REVENUE,Total Wellhead Mcf/day,NGL Production Bbls per day, Date 
no,                G/P Other SEC ,"-19,289,898.74",0.00,0.00," Oct, 2017 "
no,                G&P Other Elims SEC ,"-350,722.68",0.00,0.00," Oct, 2017 "
yes,           Gathering and Processing Other SEC ,"-19,640,621.42",0.00,0.00," Oct, 2017 "
no,      Gathering and Processing SEC ,"502,515,882.05","4,590,131.78",407652.92," Oct, 2017 "
no,           Gas Marketing SEC ,"225,072,943.31","317,721.00",0.00," Oct, 2017 "
no,           NGL Marketing SEC ,"1,069,981,763.53",0.00,0.00," Oct, 2017 "
no,           NGL Logistics SEC ,"31,119,192.24",0.00,0.00," Oct, 2017 "
no,           Wholesale Propane SEC ,"12,457,449.84",0.00,0.00," Oct, 2017 "
no,           Logistics Other SEC ,"-508,923,055.46",0.00,0.00," Oct, 2017 "
yes,      Logistics SEC ,"829,708,293.46","317,721.00",0.00," Oct, 2017 "
no,                Michigan SEC ,"2,208,105.10","194,337.90",0.00," Nov, 2017 "
no,                DJ Basin SEC ,"115,875,285.99","875,773.00",84928.00," Nov, 2017 "
no,                Piceance Basin SEC ,"887,296.46","95,554.00",0.00," Nov, 2017 "
yes,           North SEC ,"118,970,687.55","1,165,664.90",84928.00," Nov, 2017 "
no,                Goldsmith/Fullerton SEC ,"32,736,766.14","192,324.00",26650.00," Nov, 2017 "
no,                Ozona SEC ,"26,211,154.01","181,578.31",18124.20," Nov, 2017 "
no,                Southeast New Mexico SEC ,"69,498,720.82","387,250.00",45565.00," Nov, 2017 "
no,                Triad SEC ,"25,142,517.28","141,615.87",20163.35," Nov, 2017 "
no,                Permian Other SEC ,"-5,788,222.18",0.00,0.00," Nov, 2017 "
yes,           Permian SEC ,"147,800,936.05","902,768.18",110502.54," Nov, 2017 "
no,                Arklatex SEC ,"19,262,703.00","364,534.00",15485.00," Nov, 2017 "
no,                Discovery SEC ,0.00,"115,957.00",8475.00," Nov, 2017 "
no,                Gulf Coast SEC ,"5,578,346.63","136,893.83",5780.87," Nov, 2017 "
no,                South Central Texas SEC ,"84,554,784.66","623,612.13",75403.05," Nov, 2017 "
no,                Barnett Shale SEC ,"2,339,420.12","20,796.00",2285.00," Nov, 2017 "
no,                South Other SEC ,"-15,164,779.55",0.00,0.00," Nov, 2017 "
yes,           South SEC ,"96,570,474.86","1,261,792.96",107428.92," Nov, 2017 "
no,                Central Oklahoma SEC ,"34,666,224.84","272,196.00",32622.00," Nov, 2017 "
no,                Liberal SEC ,"47,292,426.48","449,446.58",29326.00," Nov, 2017 "
no,                Panhandle SEC ,"35,138,733.31","210,840.00",22059.00," Nov, 2017 "
no,                Southern Oklahoma SEC ,"40,441,975.02","359,188.00",24919.00," Nov, 2017 "
no,                Mid Continent Other SEC ,"-4,700,364.60",0.00,0.00," Nov, 2017 "
yes,           Mid Continent SEC ,"152,838,995.05","1,291,670.58",108926.00," Nov, 2017 "
no,                G/P Other SEC ,"-40,958,443.29",0.00,0.00," Nov, 2017 "
no,                G&P Other Elims SEC ,"-313,614.42",0.00,0.00," Nov, 2017 "
yes,           Gathering and Processing Other SEC ,"-41,272,057.71",0.00,0.00," Nov, 2017 "
no,      Gathering and Processing SEC ,"474,909,035.81","4,621,896.62",411785.47," Nov, 2017 "
no,           Gas Marketing SEC ,"204,400,672.36","292,610.00",0.00," Nov, 2017 "
no,           NGL Marketing SEC ,"747,909,425.21",0.00,0.00," Nov, 2017 "
no,           NGL Logistics SEC ,"32,375,244.99",0.00,0.00," Nov, 2017 "
no,           Wholesale Propane SEC ,"21,789,168.92",0.00,0.00," Nov, 2017 "
no,           Logistics Other SEC ,"-478,897,101.51",0.00,0.00," Nov, 2017 "
yes,      Logistics SEC ,"527,577,409.97","292,610.00",0.00," Nov, 2017 "
no,                Michigan SEC ,"2,012,562.65","215,231.26",0.00," Dec, 2017 "
no,                DJ Basin SEC ,"121,018,898.17","891,482.32",89854.00," Dec, 2017 "
no,                Piceance Basin SEC ,"16,442,865.24","105,296.00",0.00," Dec, 2017 "
yes,           North SEC ,"139,474,326.06","1,212,009.58",89854.00," Dec, 2017 "
no,                Goldsmith/Fullerton SEC ,"31,947,999.70","195,355.00",25104.00," Dec, 2017 "
no,                Ozona SEC ,"24,458,098.76","174,773.41",17190.63," Dec, 2017 "
no,                Southeast New Mexico SEC ,"72,224,742.67","398,026.00",43065.00," Dec, 2017 "
no,                Triad SEC ,"23,416,874.12","133,494.44",18394.61," Dec, 2017 "
no,                Permian Other SEC ,"-5,097,582.34",0.00,0.00," Dec, 2017 "
yes,           Permian SEC ,"146,950,132.91","901,648.85",103754.24," Dec, 2017 "
no,                Arklatex SEC ,"17,530,582.02","369,922.00",16213.00," Dec, 2017 "
no,                Discovery SEC ,0.00,"92,804.00",6384.00," Dec, 2017 "
no,                Gulf Coast SEC ,"4,923,216.74","128,907.97",5461.75," Dec, 2017 "
no,                South Central Texas SEC ,"85,738,709.26","591,994.61",69346.74," Dec, 2017 "
no,                Barnett Shale SEC ,"2,244,096.92","20,373.00",2248.00," Dec, 2017 "
no,                South Other SEC ,"-14,081,804.59",0.00,0.00," Dec, 2017 "
yes,           South SEC ,"96,354,800.35","1,204,001.58",99653.49," Dec, 2017 "
no,                Central Oklahoma SEC ,"38,328,992.83","288,607.00",34093.00," Dec, 2017 "
no,                Liberal SEC ,"45,785,124.31","555,812.29",26727.00," Dec, 2017 "
no,                Panhandle SEC ,"33,308,424.27","206,638.00",18727.00," Dec, 2017 "
no,                Southern Oklahoma SEC ,"37,799,154.65","345,109.00",24304.00," Dec, 2017 "
no,                Mid Continent Other SEC ,"-4,378,307.04",0.00,0.00," Dec, 2017 "
yes,           Mid Continent SEC ,"150,843,389.02","1,396,166.29",103851.00," Dec, 2017 "
no,                G/P Other SEC ,"-10,634,357.37",0.00,0.00," Dec, 2017 "
no,                G&P Other Elims SEC ,"-384,062.28",0.00,0.00," Dec, 2017 "
yes,           Gathering and Processing Other SEC ,"-11,018,419.65",0.00,0.00," Dec, 2017 "
no,      Gathering and Processing SEC ,"522,604,228.68","4,713,826.30",397112.72," Dec, 2017 "
no,           Gas Marketing SEC ,"224,317,991.77","322,313.00",0.00," Dec, 2017 "
no,           NGL Marketing SEC ,"978,212,704.48",0.00,0.00," Dec, 2017 "
no,           NGL Logistics SEC ,"39,040,010.71",0.00,0.00," Dec, 2017 "
no,           Wholesale Propane SEC ,"31,447,945.06",0.00,0.00," Dec, 2017 "
no,           Logistics Other SEC ,"-468,699,913.16",0.00,0.00," Dec, 2017 "
yes,      Logistics SEC ,"804,318,738.86","322,313.00",0.00," Dec, 2017 "
